x(um) y(um) z(um) u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
93 97 88 0.136535 0.099369 -0.985637 0.464293 -0.885331 -0.024939 -0.875096 -0.45422 -0.167016
92 132 88 0.646928 0.129672 -0.751437 0.755166 0.027948 0.654946 0.105927 -0.991163 -0.079847
95 113 88 0.82673 -0.561523 -0.034915 0.022504 -0.029009 0.999321 -0.562155 -0.826954 -0.011347
122 93 88 0.086671 0.111969 -0.989924 0.753578 -0.657306 -0.00837 -0.65162 -0.745259 -0.141348
117 119 88 -0.251616 -0.719695 -0.647082 -0.011322 -0.66637 0.74554 -0.967766 0.194922 0.159507
97 129 88 0.229788 0.302505 0.925034 0.359758 0.856746 -0.369537 -0.904309 0.417703 0.088044
89 96 88 0.137655 0.097942 -0.985626 0.464653 -0.885189 -0.023067 -0.874729 -0.454803 -0.16736
126 111 88 0.718911 -0.255082 -0.646611 0.666566 -0.010855 0.745371 -0.197155 -0.966853 0.162221
135 88 88 -0.757519 0.408678 0.509063 -0.073779 0.72121 -0.688777 -0.648635 -0.559318 -0.516177
106 99 88 -0.775686 0.588207 -0.228781 0.210563 -0.100568 -0.972383 -0.594962 -0.802448 -0.045862
136 121 88 0.183637 0.980582 0.068905 -0.982469 0.185378 -0.019786 -0.032182 -0.064066 0.997419
136 102 88 -0.156446 0.737141 -0.657374 -0.192687 -0.67556 -0.711681 -0.968713 0.015331 0.247726
127 127 88 -0.035937 -0.800858 -0.597782 0.977072 0.09745 -0.189297 0.209855 -0.590881 0.778981
125 108 88 -0.156634 0.737834 -0.656552 -0.19157 -0.674829 -0.712675 -0.968904 0.014149 0.247047
124 88 88 0.082671 0.113202 -0.990124 0.755825 -0.654673 -0.01174 -0.649536 -0.74739 -0.139681
119 94 88 0.087438 0.11139 -0.989922 0.752841 -0.658161 -0.007562 -0.652369 -0.744592 -0.141409
96 129 88 0.227921 0.302156 0.92561 0.360336 0.856962 -0.368474 -0.90455 0.417514 0.086443
89 114 88 0.447421 0.468086 -0.762045 -0.87156 0.037125 -0.488889 -0.200549 0.882892 0.424582
124 130 88 -0.036388 -0.800598 -0.598106 0.976942 0.097502 -0.189943 0.210385 -0.591226 0.778574
119 115 88 0.646168 -0.253658 0.719804 -0.745567 -0.008253 0.666378 -0.163096 -0.967264 -0.194442
120 90 88 -0.990324 -0.082486 -0.111603 -0.011081 -0.754625 0.656063 -0.138336 0.650952 0.746407
136 91 88 -0.757519 0.409337 0.508534 -0.072757 0.721199 -0.688897 -0.648751 -0.558849 -0.516538
117 95 88 -0.183738 -0.577528 -0.795422 0.119246 -0.81632 0.565158 -0.975718 0.008996 0.218856
102 96 88 -0.230374 0.778393 -0.583973 -0.972159 -0.210527 0.102892 -0.042856 0.591427 0.805223
119 117 88 -0.25132 -0.720209 -0.646625 -0.010263 -0.666053 0.745835 -0.967857 0.19408 0.159995
111 132 88 -0.084118 0.74835 0.657946 -0.086077 0.652363 -0.753002 -0.992734 -0.119973 0.009545
106 113 88 -0.866479 -0.496604 -0.051073 0.087018 -0.049488 -0.994972 0.491582 -0.866564 0.086097
132 119 88 -0.064963 -0.980226 -0.186889 0.023207 -0.188712 0.981756 -0.997624 0.059443 0.035008
134 137 88 -0.871952 0.482844 0.08101 -0.028319 0.115451 -0.992909 -0.488773 -0.868063 -0.086995
96 101 88 0.985589 0.133438 -0.10402 0.030599 0.464117 0.885239 0.166405 -0.875665 0.453342
127 123 88 -0.035606 -0.802792 -0.595195 0.977054 0.097184 -0.189531 0.209997 -0.588285 0.78091
124 117 88 0.718044 -0.253707 -0.648109 0.667488 -0.012796 0.744509 -0.197187 -0.967198 0.160151
104 121 88 -0.047972 0.495733 -0.867145 -0.995129 0.051167 0.084299 0.086156 0.866967 0.490863
89 125 88 0.447333 0.469381 -0.761288 -0.871721 0.038391 -0.488514 -0.20008 0.88215 0.426352
109 137 88 -0.280975 0.958469 0.048852 -0.802782 -0.26262 0.535339 0.52594 0.111189 0.843215
124 111 88 0.717667 -0.255831 -0.647695 0.667713 -0.011383 0.744334 -0.1978 -0.96665 0.162651
115 117 88 -0.250874 -0.720594 -0.646358 -0.009664 -0.665823 0.746049 -0.967987 0.193408 0.160061
104 120 88 -0.047945 0.495659 -0.867189 -0.995131 0.051176 0.084265 0.086143 0.86701 0.49079
122 104 88 -0.15729 0.737959 -0.65626 -0.193698 -0.674672 -0.712244 -0.968374 0.015092 0.24906
127 113 88 0.646988 -0.253451 0.719143 -0.745068 -0.009582 0.666922 -0.16214 -0.967301 -0.195041
116 89 88 -0.184158 -0.579315 -0.794028 0.120665 -0.815056 0.566672 -0.975467 0.008555 0.219994
120 112 88 0.718355 -0.256101 -0.646828 0.666691 -0.012232 0.745239 -0.198781 -0.966562 0.161947
93 118 88 -0.446593 -0.46916 -0.761869 0.872015 -0.037522 -0.488037 0.200385 -0.882315 0.425875
104 125 88 -0.049098 0.495251 -0.867359 -0.995031 0.051077 0.085487 0.086638 0.867249 0.490281
106 132 88 -0.279511 0.959002 0.046481 -0.803111 -0.260049 0.536124 0.526241 0.1125 0.842853
133 118 88 -0.066295 0.183849 -0.980712 0.022103 -0.982367 -0.18565 -0.99756 -0.033986 0.061063
114 118 88 0.048353 -0.496839 -0.866493 0.994861 -0.053326 0.086089 -0.088978 -0.866203 0.491707
109 122 88 -0.496246 -0.866727 0.050343 -0.050259 0.086577 0.99497 -0.866727 0.491224 -0.086522
117 123 88 0.594346 -0.80338 -0.036773 0.193087 0.098147 0.976259 -0.780707 -0.587297 0.21346
99 121 88 -0.86642 -0.496621 -0.051903 0.087523 -0.048699 -0.994967 0.491594 -0.8666 0.085663
135 127 88 0.182224 0.980942 0.067493 -0.982717 0.183969 -0.020617 -0.032645 -0.06257 0.997502
94 118 88 -0.446741 -0.470094 -0.761202 0.871941 -0.038208 -0.488118 0.200385 -0.881787 0.426969
135 132 88 -0.87175 0.483374 0.080008 -0.026908 0.11582 -0.992905 -0.489212 -0.867719 -0.087957
127 101 88 -0.155531 0.73608 -0.658777 -0.193474 -0.676675 -0.710406 -0.968706 0.016973 0.247654
99 107 88 -0.560116 0.039016 -0.827495 -0.0333 -0.999142 -0.024585 -0.827751 0.013785 0.560928
102 116 88 -0.866586 -0.496345 -0.051891 0.087749 -0.049183 -0.994916 0.491273 -0.866732 0.086176
134 98 88 -0.156854 0.735826 -0.658752 -0.193692 -0.676973 -0.710063 -0.968445 0.016221 0.248709
134 123 88 0.182512 0.980843 0.068141 -0.982662 0.184275 -0.020574 -0.032744 -0.063206 0.997457
108 121 88 -0.495798 -0.867033 0.049439 -0.051402 0.086136 0.994952 -0.866917 0.490757 -0.08727
88 112 88 0.448309 0.468911 -0.761015 -0.870894 0.037263 -0.490064 -0.201434 0.882452 0.425079
98 100 88 0.825636 -0.562875 -0.038764 0.024676 -0.032617 0.999158 -0.563671 -0.825899 -0.013041
138 103 88 -0.155544 0.736984 -0.65776 -0.19335 -0.675704 -0.711367 -0.968727 0.016543 0.247596
97 117 88 0.446486 -0.473823 0.759038 -0.871726 -0.038956 0.488446 -0.201891 -0.879764 -0.430414
102 133 88 -0.279004 0.95904 0.048875 -0.802786 -0.260875 0.536192 0.52698 0.110352 0.842675
111 129 88 0.660866 -0.082943 0.745908 -0.750441 -0.085951 0.655324 0.009758 -0.992841 -0.119043
118 126 88 -0.803608 0.037663 -0.593966 0.096003 -0.976722 -0.19182 -0.587367 -0.211172 0.781287
99 134 88 0.645975 0.131632 -0.751918 0.75592 0.026968 0.654113 0.106387 -0.990933 -0.082084
118 103 88 -0.25285 -0.720315 -0.645914 -0.00633 -0.666353 0.745601 -0.967498 0.192606 0.163928
121 100 88 0.731829 0.662598 0.159362 -0.681288 0.705553 0.195039 0.016792 -0.251309 0.967759
127 111 88 0.656144 -0.15725 -0.738069 0.713161 -0.190566 0.674599 -0.246736 -0.968998 -0.012899
118 88 88 -0.184908 -0.578275 -0.794609 0.119785 -0.815789 0.565811 -0.975431 0.009448 0.220108
118 129 88 -0.036226 -0.801138 -0.597384 0.976758 0.097991 -0.190651 0.211275 -0.590406 0.778957
123 100 88 0.731307 0.663222 0.159167 -0.681845 0.705001 0.19508 0.017166 -0.251197 0.967782
121 101 88 -0.157375 0.736776 -0.657565 -0.192955 -0.675972 -0.711219 -0.968505 0.014954 0.248545
91 105 88 0.826256 -0.562047 -0.037513 0.024942 -0.030025 0.999237 -0.562745 -0.826559 -0.010792
135 129 88 -0.872128 0.483017 0.078028 -0.024364 0.116404 -0.992898 -0.488676 -0.867843 -0.089743
103 138 88 -0.05027 0.957347 -0.284512 -0.537915 -0.265971 -0.799942 -0.841509 0.112826 0.528342
128 110 88 -0.157534 0.73761 -0.656592 -0.192058 -0.675083 -0.712303 -0.968658 0.013894 0.248012
121 92 88 -0.990147 -0.086981 -0.109785 -0.006855 -0.752788 0.65822 -0.139894 0.65249 0.744772
97 102 88 -0.561207 0.038845 -0.82676 -0.031489 -0.999181 -0.025577 -0.827077 0.011682 0.561966
115 138 88 -0.281617 0.958308 0.048224 -0.80271 -0.262822 0.535345 0.52571 0.112044 0.843252
121 116 88 0.646252 -0.253541 0.719771 -0.745491 -0.008153 0.666464 -0.163112 -0.967296 -0.194271
119 135 88 -0.868888 0.488082 0.082561 -0.028835 0.11661 -0.992757 -0.494178 -0.86497 -0.08724
99 106 88 -0.561404 0.038701 -0.826637 -0.033761 -0.999142 -0.023856 -0.826858 0.014514 0.562228
93 103 88 -0.561857 0.037969 -0.82636 -0.031013 -0.999213 -0.024824 -0.826653 0.011682 0.56259
116 98 88 -0.816856 0.442325 -0.37026 0.434881 0.050513 -0.899066 -0.378981 -0.895435 -0.233619
127 116 88 0.717758 -0.254299 -0.648194 0.667521 -0.013556 0.744468 -0.198105 -0.967031 0.160014
111 97 88 -0.794587 -0.182636 -0.579038 0.568112 0.112904 -0.815169 0.214259 -0.976672 0.014049
95 129 88 0.227822 0.302322 0.92558 0.360445 0.856865 -0.368594 -0.904531 0.417595 0.086243
99 120 88 -0.865969 -0.497532 -0.050628 0.086757 -0.049748 -0.994986 0.492518 -0.866017 0.086248
92 116 88 0.447365 0.469402 -0.761266 -0.871609 0.03803 -0.488731 -0.20046 0.882156 0.426157
101 128 88 0.229298 0.924407 -0.304752 0.359422 -0.371412 -0.856081 -0.904601 0.086767 -0.417355
104 135 88 -0.280303 0.958692 0.047931 -0.802751 -0.261498 0.535963 0.526381 0.111733 0.842873
113 88 88 -0.184319 -0.580217 -0.793331 0.121128 -0.814418 0.56749 -0.975381 0.00851 0.220382
99 97 88 -0.986757 0.126422 0.101675 -0.031643 0.464614 -0.88494 -0.159142 -0.876435 -0.454464
131 131 88 0.87193 -0.075976 -0.483704 0.024232 0.993377 -0.112322 0.489035 0.08622 0.86799
134 122 88 0.183454 0.98064 0.068584 -0.982496 0.1852 -0.020058 -0.032377 -0.063704 0.997436
119 118 88 0.717679 -0.2541 -0.648361 0.667808 -0.012816 0.744222 -0.197418 -0.967094 0.160487
133 133 88 -0.869784 0.486751 0.081021 -0.028102 0.115076 -0.992958 -0.49265 -0.865919 -0.086405
92 107 88 0.826126 -0.562269 -0.037053 0.024049 -0.030513 0.999244 -0.562976 -0.82639 -0.011688
125 124 88 -0.035465 -0.802474 -0.595631 0.976918 0.097791 -0.189922 0.210655 -0.588619 0.780481
137 107 88 -0.156488 0.738082 -0.656311 -0.193543 -0.674528 -0.712425 -0.968534 0.015541 0.248406
108 94 88 -0.794203 -0.18396 -0.579155 0.568042 0.113876 -0.81509 0.215883 -0.976302 0.014046
106 90 88 -0.792454 -0.182862 -0.581877 0.570768 0.114034 -0.81315 0.21505 -0.976505 0.013998
100 108 88 -0.560836 0.038626 -0.827024 -0.033293 -0.999155 -0.024097 -0.827262 0.014019 0.561644
91 128 88 -0.446874 -0.469822 -0.761287 0.871951 -0.038388 -0.488103 0.200104 -0.881914 0.426827
129 98 88 -0.156142 0.735857 -0.65888 -0.194404 -0.676907 -0.70993 -0.968422 0.017241 0.248746
107 98 88 -0.796099 -0.181442 -0.577346 0.566216 0.113604 -0.816394 0.213713 -0.976805 0.012271
93 120 88 0.448769 0.469515 -0.760369 -0.870324 0.036461 -0.49113 -0.20288 0.882172 0.424985
88 89 88 -0.348238 0.582392 -0.734544 -0.121295 -0.804998 -0.580742 -0.929526 -0.11314 0.350971
89 118 88 0.447269 0.468042 -0.76216 -0.87167 0.037155 -0.488689 -0.200409 0.882918 0.424603
128 120 88 0.185051 0.98045 0.067024 -0.982132 0.186881 -0.022377 -0.034492 -0.061694 0.997486
91 101 88 0.137525 0.097871 -0.985648 0.462326 -0.886401 -0.023512 -0.875982 -0.452455 -0.167153
89 89 88 -0.348838 0.582194 -0.734416 -0.121643 -0.80514 -0.580473 -0.929255 -0.113155 0.351682
138 115 88 -0.066344 0.184323 -0.980618 0.021548 -0.982296 -0.186098 -0.997569 -0.033473 0.061197
89 136 88 0.748859 0.131454 0.649561 -0.657455 0.023919 0.753114 0.083463 -0.991033 0.104339
136 116 88 0.183888 0.980553 0.068645 -0.982416 0.185635 -0.020029 -0.03239 -0.063758 0.997432
132 134 88 -0.869153 0.487733 0.081957 -0.029059 0.115084 -0.992929 -0.493719 -0.86536 -0.08584
90 88 88 -0.350173 0.580653 -0.735 -0.116965 -0.80564 -0.580735 -0.929361 -0.117374 0.350027
106 96 88 -0.796087 -0.181307 -0.577402 0.566142 0.11415 -0.816369 0.213921 -0.976767 0.011759
118 117 88 0.646772 -0.253823 0.719207 -0.745257 -0.009896 0.666704 -0.16211 -0.967201 -0.195561
112 96 88 -0.180323 -0.577377 -0.796316 0.11739 -0.816434 0.56538 -0.976579 0.008471 0.214997
135 112 88 -0.066031 0.184047 -0.980693 0.02117 -0.982363 -0.185786 -0.997596 -0.033026 0.060967
115 122 88 0.493571 0.046666 -0.868453 0.049411 0.995445 0.081563 0.868303 -0.083164 0.489006
102 94 88 -0.795874 -0.180996 -0.577795 0.56629 0.115279 -0.816106 0.214336 -0.976688 0.010741
122 103 88 -0.157313 0.73719 -0.657116 -0.192288 -0.675532 -0.711816 -0.968648 0.01438 0.248023
107 102 88 0.43947 0.816495 -0.374429 0.044608 -0.436171 -0.898754 -0.897157 0.378271 -0.228108
94 116 88 -0.446885 -0.469227 -0.761657 0.87176 -0.037276 -0.488508 0.200835 -0.88229 0.425714
93 105 88 0.82636 -0.561942 -0.036842 0.024586 -0.029361 0.999264 -0.562611 -0.826655 -0.010451
119 128 88 0.594586 -0.803143 -0.037808 0.193381 0.097204 0.976297 -0.780431 -0.587802 0.213107
135 110 88 -0.155615 0.738024 -0.656582 -0.192349 -0.674595 -0.712687 -0.968913 0.015394 0.246933
134 107 88 -0.156672 0.737808 -0.656576 -0.193667 -0.674827 -0.712108 -0.968479 0.015594 0.248615
114 99 88 0.81486 0.4425 0.374436 -0.438373 0.047764 0.897513 0.379281 -0.895496 0.232903
135 106 88 -0.157023 0.737533 -0.6568 -0.192929 -0.675143 -0.71201 -0.968569 0.014915 0.248305
112 134 88 -0.08367 0.748962 0.657307 -0.086097 0.651723 -0.753554 -0.99277 -0.119639 0.009958
125 121 88 0.594334 -0.803373 -0.036953 0.193038 0.097891 0.976296 -0.780732 -0.587342 0.213261
100 124 88 -0.497478 0.866016 -0.050454 -0.046097 -0.084469 -0.995349 -0.866261 -0.492833 0.081945
113 99 88 0.815054 0.442503 0.374002 -0.437742 0.047404 0.897842 0.379583 -0.895517 0.232342
119 91 88 -0.185723 -0.578429 -0.794303 0.119409 -0.815671 0.566064 -0.975322 0.010287 0.220552
112 107 88 -0.253969 0.718622 0.647356 -0.00599 0.668115 -0.744029 -0.967208 -0.192819 -0.165374
105 112 88 -0.866036 -0.497381 -0.051047 0.087223 -0.049746 -0.99494 0.492328 -0.866105 0.086463
108 105 88 -0.375333 0.816761 -0.438187 -0.898206 -0.437226 -0.045587 -0.228817 0.376477 0.897724
124 101 88 0.731266 0.663209 0.159412 -0.681896 0.704988 0.194947 0.016905 -0.251267 0.967768
109 110 88 -0.866102 -0.497396 -0.049805 0.085718 -0.049612 -0.995076 0.492481 -0.866103 0.085597
96 121 88 0.446404 -0.473938 0.759008 -0.872009 -0.040034 0.487852 -0.200846 -0.879663 -0.431123
110 124 88 -0.04788 0.494647 -0.867773 -0.995131 0.051331 0.08416 0.086171 0.86758 0.489774
92 102 88 -0.561221 0.038221 -0.826778 -0.031312 -0.999204 -0.024943 -0.827074 0.011891 0.561964
136 122 88 0.183028 0.980717 0.06859 -0.98258 0.18477 -0.019957 -0.032251 -0.063745 0.997439
96 134 88 0.750243 0.648184 -0.130367 -0.656183 0.754129 -0.026722 0.080992 0.105589 0.991105
118 125 88 -0.803991 0.03783 -0.593437 0.095501 -0.976804 -0.191652 -0.586927 -0.210764 0.781727
121 93 88 -0.99011 -0.086668 -0.110358 -0.007537 -0.752477 0.658571 -0.140114 0.652892 0.744379
132 133 88 0.482807 0.082062 -0.871874 0.118881 -0.992523 -0.027591 -0.867623 -0.090325 -0.488952
106 92 88 -0.179341 0.793496 -0.581547 0.118392 -0.56943 -0.813469 -0.976639 -0.214739 0.00818
107 90 88 -0.180375 -0.581044 -0.793632 0.120052 -0.813836 0.568554 -0.976247 0.007279 0.216551
95 106 88 0.826345 -0.561879 -0.038091 0.025314 -0.030503 0.999212 -0.562606 -0.826651 -0.010985
106 102 88 0.439352 0.816165 -0.375289 0.044769 -0.43715 -0.898267 -0.897208 0.377856 -0.228603
120 135 88 -0.868348 0.489128 0.082081 -0.028072 0.116759 -0.992762 -0.495183 -0.864351 -0.087653
138 94 88 0.507526 0.75827 -0.409199 -0.689582 0.072693 -0.720549 -0.51663 0.647869 0.559786
133 135 88 -0.869565 0.486977 0.082002 -0.028748 0.115862 -0.992847 -0.492996 -0.865691 -0.086743
134 112 88 -0.065674 0.183814 -0.98076 0.021426 -0.982402 -0.185558 -0.997614 -0.033193 0.060575
116 112 88 0.645772 -0.253194 0.720322 -0.745947 -0.007914 0.665953 -0.162916 -0.967392 -0.193971
102 103 88 -0.560129 0.038316 -0.827514 -0.031707 -0.999192 -0.024809 -0.827802 0.012339 0.560886
124 121 88 -0.035795 -0.803628 -0.594051 0.976876 0.097248 -0.190419 0.210794 -0.587133 0.781564
97 90 88 -0.986463 -0.132591 -0.096575 -0.02442 -0.463388 0.885813 -0.162232 0.876166 0.453881
123 99 88 -0.155901 0.734936 -0.659968 -0.194253 -0.677903 -0.709022 -0.968488 0.01767 0.248447
102 88 88 -0.067293 -0.021282 -0.997504 0.818507 -0.572891 -0.042992 -0.570551 -0.819351 0.055969
101 137 88 0.749079 0.649656 -0.129777 -0.657748 0.752694 -0.028462 0.079197 0.106671 0.991133
88 100 88 -0.369024 0.824851 0.428302 -0.818021 -0.507001 0.27164 0.441217 -0.250126 0.861839
138 96 88 -0.507017 -0.758159 -0.410031 0.690171 -0.072115 -0.720045 0.516346 -0.648064 0.559824
104 89 88 -0.019698 0.997346 0.070043 -0.57266 0.046185 -0.818489 -0.819565 -0.05623 0.570229
102 95 88 -0.98652 -0.131249 -0.097748 -0.026254 -0.462588 0.886182 -0.161544 0.876801 0.452907
125 99 88 0.731546 0.662806 0.159808 -0.681616 0.7054 0.194442 0.016151 -0.251178 0.967802
115 89 88 -0.184011 -0.579295 -0.794076 0.121008 -0.815073 0.566572 -0.975454 0.008177 0.220072
116 121 88 -0.248767 -0.720711 -0.647048 -0.011312 -0.66586 0.745997 -0.968506 0.192907 0.157467
91 134 88 0.748676 0.131168 0.649833 -0.657703 0.023938 0.752895 0.083198 -0.991071 0.104195
109 103 88 -0.817242 0.441015 -0.370971 0.436176 0.052625 -0.898308 -0.37666 -0.895969 -0.235358
117 126 88 0.594397 -0.80326 -0.038318 0.193547 0.096646 0.976319 -0.780535 -0.587733 0.212914
108 91 88 -0.180526 -0.580674 -0.793867 0.119218 -0.814095 0.568361 -0.976321 0.007964 0.216194
120 118 88 0.646649 -0.253638 0.719384 -0.745358 -0.009635 0.666596 -0.162149 -0.967251 -0.195275
105 122 88 -0.048181 0.495808 -0.86709 -0.995098 0.051274 0.084607 0.086405 0.866917 0.490906
111 130 88 -0.082701 0.747548 0.659039 -0.08551 0.653542 -0.752044 -0.992899 -0.11855 0.009875
138 125 88 -0.065244 0.18354 -0.980839 0.021527 -0.982452 -0.185273 -0.997642 -0.033199 0.060145
122 109 88 0.718402 -0.255949 -0.646833 0.666734 -0.011898 0.745204 -0.19844 -0.966611 0.162098
125 101 88 0.731373 0.66305 0.159582 -0.68179 0.705152 0.194734 0.016587 -0.251231 0.967782
129 112 88 -0.157375 0.737936 -0.656261 -0.192676 -0.674716 -0.712484 -0.968564 0.01432 0.248364
92 119 88 0.448736 0.469326 -0.760505 -0.870338 0.0363 -0.491117 -0.202901 0.882279 0.424753
106 122 88 -0.047964 0.495521 -0.867267 -0.995126 0.051226 0.084297 0.086195 0.867086 0.490647
100 116 88 -0.866515 -0.496307 -0.053505 0.088512 -0.047257 -0.994938 0.491268 -0.866862 0.084884
96 90 88 0.733481 -0.346754 -0.584596 0.582174 -0.123462 0.803645 -0.350856 -0.929788 0.111323
110 91 88 -0.181176 -0.580283 -0.794003 0.119981 -0.814375 0.567798 -0.976109 0.007613 0.217169
109 88 88 -0.997374 0.06881 0.022668 -0.043537 -0.81936 0.571623 0.05791 0.569136 0.8202
131 134 88 0.482639 0.08202 -0.871971 0.118617 -0.992552 -0.027709 -0.867752 -0.090054 -0.488773
120 132 88 0.595255 -0.802659 -0.03757 0.192527 0.097073 0.976478 -0.780133 -0.588486 0.212315
104 103 88 -0.561758 0.038545 -0.826399 -0.031822 -0.999185 -0.024972 -0.826691 0.012265 0.562523
